processed_message,label,message
romant pari night flight money book now next year call ts cs appli,1,romant pari night flight$book now next year call ts cs appli
urgent your mobil no money bonu caller prize nd attempt reach you call hasphon asap box qp ppm,1,urgent your mobil no$bonu caller prize nd attempt reach you call hasphon asap box qp ppm
free st week entri textpod chanc win gb ipod money cash everi wk txt pod ts cs hasurl custcar hasphon,1,free st week entri textpod chanc win gb ipod$cash everi wk txt pod ts cs [URL] custcar hasphon
wan win meet greet westlif current tour unbreak untam unkempt text cost std text,1,wan win meet greet westlif current tour unbreak untam unkempt text cost std text
you stop club tone repli stop mix see tone com enjoy html term club tone cost gbp week mfl,1,you stop club tone repli stop mix see tone com enjoy html term club tone cost gbp week mfl
claim shop spree call hasphon now you mobstorequiz ppm,1,claim shop spree call hasphon now you mobstorequiz ppm
thank your rington order ref number your mobil charg money your tone not arriv pleas call custom servic hasphon,1,thank your rington order ref number your mobil charg$your tone not arriv pleas call custom servic hasphon
eastend tv quiz flower dot compar violet tulip lili txt now chanc win money cash wkent,1,eastend tv quiz flower dot compar violet tulip lili txt now chanc win$cash wkent
hasphon pm cost,1,hasphon pm cost
urgent pleas call hasphon landlin your abta complimentari tenerif holiday cash await collect sae cs box cw wx ppm,1,urgent pleas call hasphon landlin your abta complimentari tenerif holiday cash await collect sae cs box cw wx ppm
diet ate mani slice pizza yesterday ugh alway diet,0,diet ate mani slice pizza yesterday ugh alway diet
good sleep rhythm person establish rhythm bodi learn use you want know,0,good sleep rhythm person establish rhythm bodi learn use you want know
mani model soni ericson also der lt gt luk good bt forgot modl no,0,mani model soni ericson also der lt gt luk good bt forgot modl no
ok help ask work tmr not,0,ok help ask work tmr not
sorri cant take your call right now happen waxsto wat you want come ill get medic insur abl deliv basic care current shop right medic insur give til friday morn that see major person guid right insur,0,sorri cant take your call right now happen waxsto wat you want come ill get medic insur abl deliv basic care current shop right medic insur give til friday morn that see major person guid right insur
mom want know you,0,mom want know you
apo mokka player,0,apo mokka player
oh right ok make sure load work day got realli nasti cough today dri shot realli help,0,oh right ok make sure load work day got realli nasti cough today dri shot realli help
tomarrow final hear laptop case cant,0,tomarrow final hear laptop case cant
ok lor reach messag,0,ok lor reach messag
